rowID,Cluster,RAJ2000,DEJ2000,Diam,Dist,E(B-V),Age,pmRA,pmDE,Nc,RV,o_RV,[Fe/H],raDeg,decDeg,l,b
0,Berkeley 58      ,00 00 12,+60 58 00,  11.0, 2700, 0.720, 8.470,   0.56,   1.56,   88, -87.00,  1,,0.05,60.9666666667,116.753380495,-1.28893683398
1,NGC 7801         ,00 00 21,+50 44 30,   8.0, 1275, 0.170, 9.230,  -3.56,  -2.60,   85,       ,   ,,0.0875,50.7416666667,114.729494582,-11.3146543492
2,FSR 0459         ,00 00 39,+59 14 20,   2.0, 3800, 1.103, 8.950,  -1.66,  -0.01,    8,       ,   ,,0.1625,59.2388888889,116.468449356,-2.99401503869
3,Stock 18         ,00 01 37,+64 37 30,   6.0, 1242, 0.710, 8.100,  -2.78,  -0.15,  109,       ,   ,,0.404166666667,64.625,117.624516914,2.26787754768
4,Berkeley 59      ,00 02 14,+67 25 00,  10.0, 1000, 1.241, 6.100,  -2.11,  -1.20,    2,  -5.17,  3,,0.558333333333,67.4166666667,118.220979853,4.99607166559
5,Berkeley 104     ,00 03 30,+63 35 00,   3.0, 4365, 0.450, 8.890,  -2.35,  -0.30,   76,       ,   ,0.07,0.875,63.5833333333,117.630140994,1.2061311675
6,Blanco 1         ,00 04 07,-29 50 00,  70.0,  269, 0.010, 7.796,  20.17,   3.00,   27,   5.53, 49,0.04,1.02916666667,-29.8333333333,15.5718733097,-79.2611786315
7,Stock 19         ,00 04 41,+56 05 00,   4.0,     ,      ,      ,   1.43,  -2.04,   42,       ,   ,,1.17083333333,56.0833333333,116.40280324,-6.19457054442
8,NGC 7826         ,00 05 17,-20 41 30,  20.0,  620, 0.030, 9.340,   6.48,  -6.20,   39,  -4.62,  1,,1.32083333333,-20.6916666667,61.8749354777,-77.6528973245
9,Majaess 1        ,00 07 22,+64 58 22,   5.0,     ,      ,      ,   4.63,   1.72,   20,       ,   ,,1.84166666667,64.9727777778,118.29004064,2.49897686992
10,Czernik 1        ,00 07 38,+61 28 30,   2.5, 2530, 1.230, 6.700,  -3.83,   1.66,    5,       ,   ,,1.90833333333,61.475,117.726196634,-0.953208210047
11,SAI 1            ,00 08 20,+51 43 15,   4.0, 2170, 0.340, 9.100,   0.31,  -0.88,   35,       ,   ,,2.08333333333,51.7208333333,116.164883796,-10.5836629531
12,Berkeley 1       ,00 09 36,+60 28 30,   5.0, 2420, 0.780, 8.600,  -1.83,  -0.75,  135,       ,   ,,2.4,60.475,117.796108113,-1.97888220619
13,ASCC 1           ,00 09 36,+62 40 48,  24.0, 4000, 0.160, 8.250,  -3.27,   1.19, 1189, -74.10,  3,,2.4,62.68,118.152495677,0.197136838428
14,King 13          ,00 10 06,+61 10 00,   5.0, 3100, 0.820, 8.500,  -4.15,  -2.46,  127,       ,   ,,2.525,61.1666666667,117.967467551,-1.30599534808
15,Alessi 20        ,00 10 34,+58 45 36,  40.0,  600, 0.220, 6.480,   8.73,  -3.11,   17, -11.50,  1,,2.64166666667,58.76,117.642297167,-3.69135282317
16,FSR 0474         ,00 10 53,+59 44 50,   4.6, 4638, 1.145, 8.900,  -0.41,  -0.81,   53,       ,   ,,2.72083333333,59.7472222222,117.838080009,-2.72283056245
17,FSR 0480         ,00 14 55,+61 28 23,   1.5, 5492, 0.937, 9.300,  -1.66,  -1.81,   24,       ,   ,,3.72916666667,61.4730555556,118.58502051,-1.09007115139
18,Juchert Saloran 1,00 16 20,+59 57 43,   5.0, 3859, 0.830, 9.050,  -0.59,   0.58,   60,       ,   ,,4.08333333333,59.9619444444,118.547139066,-2.61060168723
19,Majaess 8        ,00 16 43,+64 30 21,   3.0,     ,      ,      ,  -2.38,   2.06,   24,       ,   ,,4.17916666667,64.5058333333,119.205385244,1.88560324384
20,Berkeley 60      ,00 17 42,+60 56 00,   3.0, 4365, 0.860, 8.200,  -3.64,   0.20,   40,       ,   ,0.07,4.425,60.9333333333,118.843808924,-1.67033639782
21,ASCC 2           ,00 19 52,+55 42 36,  36.0, 1200, 0.100, 8.830,  -1.56,  -1.34,   20,       ,   ,,4.96666666667,55.71,118.462557133,-6.88753736819
22,FSR 0486         ,00 20 21,+59 19 05,   2.5, 1850, 0.550, 8.900,  -2.10,  -2.11,    5,       ,   ,,5.0875,59.3180555556,118.968469837,-3.31424408006
23,Majaess 9        ,00 21 13,+63 19 28,   2.0,     ,      ,      ,       ,       ,     ,       ,   ,,5.30416666667,63.3244444444,119.547695572,0.651449744531
24,Mayer 1          ,00 21 54,+61 45 00,   7.0, 1430, 0.500, 7.740,  -1.68,  -1.18,  122, -20.90,  1,,5.475,61.75,119.443769877,-0.92153392346
25,King 1           ,00 22 04,+64 22 50,  24.6, 1080, 0.760, 9.600,  -2.43,   1.02,  700, -38.40, 10,-0.01,5.51666666667,64.3805555556,119.762644597,1.68969549025
26,SAI 4            ,00 23 40,+62 42 14,   4.0, 1600, 0.270, 8.700,  -1.80,   3.00,   64,-100.70,  1,,5.91666666667,62.7038888889,119.754183839,0.00361411396843
27,Stock 20         ,00 25 15,+62 37 00,   4.0, 1100, 0.200, 8.337,  -2.53,   2.51,   82,       ,   ,,6.3125,62.6166666667,119.925863216,-0.102132299772
28,NGC 103          ,00 25 16,+61 19 24,   4.0, 3026, 0.406, 8.126,  -3.44,  -0.32,  101,-116.70,  1,,6.31666666667,61.3233333333,119.796584828,-1.38899110092
29,Berkeley 2       ,00 25 18,+60 24 00,   2.0, 5250, 0.800, 8.900,   0.88,  -2.50,   14,       ,   ,,6.325,60.4,119.706948166,-2.30797679546
30,FSR 0494         ,00 25 32,+63 45 28,   0.8, 5087, 0.521, 9.300,  -2.87,  -2.72,    9,       ,   ,,6.38333333333,63.7577777778,120.072833557,1.02992638169
31,FSR 0496         ,00 26 58,+64 02 00,   4.9, 1123, 0.770, 9.055,  -1.13,   0.09,   64,       ,   ,,6.74166666667,64.0333333333,120.256691407,1.28877018569
32,NGC 110          ,00 27 25,+71 23 00,  12.0, 1290, 0.420, 9.000,   0.01,  -3.47,  408,       ,   ,,6.85416666667,71.3833333333,120.996189476,8.60192505671
33,SAI 6            ,00 27 53,+60 41 21,   5.0, 2700, 0.890, 8.500,   0.51,  -0.03,   77,       ,   ,,6.97083333333,60.6891666667,120.051169554,-2.05076400824
34,FSR 0498         ,00 29 13,+62 24 57,   1.5, 1800, 0.150, 8.550,  -3.62,  -0.10,   19,       ,   ,-0.34,7.30416666667,62.4158333333,120.362653222,-0.345010125945
35,NGC 129          ,00 30 00,+60 13 06,  19.0, 1625, 0.548, 7.886,  -1.23,  -0.51,  764, -37.36,  2,,7.5,60.2183333333,120.270196192,-2.54257402204
36,Stock 21         ,00 30 25,+57 55 25,   4.0, 1700, 0.416, 8.825,  -2.45,  -2.72,   62,       ,   ,,7.60416666667,57.9236111111,120.133946857,-4.83388988052
37,ASCC 3           ,00 31 09,+55 16 48,  25.2, 1700, 0.170, 7.900,   0.85,  -2.75,  877, -37.00,  1,,7.7875,55.28,120.02087417,-7.4770345003
38,NGC 133          ,00 31 19,+63 21 00,   7.0,  630, 0.600, 7.000,  -0.70,  -0.40,    8,       ,   ,,7.82916666667,63.35,120.677839397,0.56634934854
39,NGC 136          ,00 31 33,+61 30 30,   4.0, 5220, 0.700, 8.400,  -0.38,   1.21,  100,       ,   ,-0.05,7.8875,61.5083333333,120.561853986,-1.27185993424
40,King 14          ,00 32 03,+63 09 20,   8.0, 2960, 0.340, 7.900,  -2.25,   0.73,  227,       ,   ,,8.0125,63.1555555556,120.745210698,0.36615473083
41,King 15          ,00 32 54,+61 52 00,   3.0, 3162, 0.700, 8.400,   0.32,   0.49,   48,       ,   ,0.07,8.225,61.8666666667,120.748221172,-0.92645552272
42,NGC 146          ,00 32 58,+63 20 03,   5.5, 3470, 0.550, 7.110,  -2.77,   0.33,  110,       ,   ,,8.24166666667,63.3341666667,120.861216709,0.536708134649
